Name,Rank,Year,Freq
MICHAEL,1,1960,8770
DAVID,2,1960,8033
ROBERT,3,1960,6798
JOHN,4,1960,6308
JAMES,5,1960,5900
MARK,6,1960,5389
RICHARD,7,1960,4436
STEVEN,8,1960,4310
WILLIAM,9,1960,3943
DANIEL,10,1960,3081
THOMAS,11,1960,2978
JEFFREY,12,1960,2940
TIMOTHY,13,1960,2695
KENNETH,14,1960,2563
RONALD,15,1960,2477
KEVIN,16,1960,2325
GREGORY,17,1960,2266
JOSEPH,18,1960,2178
CHARLES,19,1960,2172
DONALD,20,1960,2162
PAUL,21,1960,2136
BRIAN,22,1960,1968
CHRISTOP*,23,1960,1951
ANTHONY,24,1960,1906
SCOTT,25,1960,1893
MICHAEL,1,1961,9444
DAVID,2,1961,8353
ROBERT,3,1961,7054
JOHN,4,1961,6751
JAMES,5,1961,6055
MARK,6,1961,5339
STEVEN,7,1961,4211
RICHARD,8,1961,4186
WILLIAM,9,1961,3763
DANIEL,10,1961,3212
JEFFREY,11,1961,3118
THOMAS,12,1961,2991
KENNETH,13,1961,2534
RONALD,14,1961,2515
KEVIN,15,1961,2449
TIMOTHY,16,1961,2405
GREGORY,17,1961,2364
CHRISTOP*,18,1961,2266
JOSEPH,19,1961,2234
CHARLES,20,1961,2172
PAUL,21,1961,2162
DONALD,22,1961,2146
SCOTT,23,1961,2117
BRIAN,24,1961,2026
ANTHONY,25,1961,1999
MICHAEL,1,1962,9336
DAVID,2,1962,8059
ROBERT,3,1962,7031
JOHN,4,1962,6612
JAMES,5,1962,5863
MARK,6,1962,4911
RICHARD,7,1962,4340
STEVEN,8,1962,3914
WILLIAM,9,1962,3727
JEFFREY,10,1962,3389
DANIEL,11,1962,3049
THOMAS,12,1962,2902
SCOTT,13,1962,2753
KENNETH,14,1962,2587
GREGORY,15,1962,2548
KEVIN,16,1962,2429
RONALD,17,1962,2426
JOSEPH,18,1962,2387
TIMOTHY,19,1962,2345
CHRISTOP*,20,1962,2219
PAUL,21,1962,2157
CHARLES,22,1962,2077
BRIAN,23,1962,2061
ANTHONY,24,1962,2001
DONALD,25,1962,1929
MICHAEL,1,1963,9136
DAVID,2,1963,7692
ROBERT,3,1963,7132
JOHN,4,1963,6978
JAMES,5,1963,5793
MARK,6,1963,4651
RICHARD,7,1963,4568
STEVEN,8,1963,3759
WILLIAM,9,1963,3662
JEFFREY,10,1963,3213
DANIEL,11,1963,3131
THOMAS,12,1963,2850
SCOTT,13,1963,2682
KEVIN,14,1963,2664
KENNETH,15,1963,2512
GREGORY,16,1963,2494
RONALD,17,1963,2422
JOSEPH,18,1963,2344
CHRISTOP*,19,1963,2313
PAUL,20,1963,2312
TIMOTHY,21,1963,2288
BRIAN,22,1963,2264
CHARLES,23,1963,2103
ANTHONY,24,1963,2063
DONALD,25,1963,1851
MICHAEL,1,1964,8899
DAVID,2,1964,7495
JOHN,3,1964,7195
ROBERT,4,1964,7108
JAMES,5,1964,5946
RICHARD,6,1964,4368
MARK,7,1964,3978
WILLIAM,8,1964,3615
STEVEN,9,1964,3605
DANIEL,10,1964,2940
JEFFREY,11,1964,2912
THOMAS,12,1964,2733
KEVIN,13,1964,2542
KENNETH,14,1964,2464
JOSEPH,15,1964,2414
PAUL,16,1964,2408
SCOTT,17,1964,2336
CHRISTOP*,18,1964,2293
TIMOTHY,18,1964,2293
RONALD,20,1964,2225
GREGORY,21,1964,2224
BRIAN,22,1964,2083
ANTHONY,23,1964,1970
CHARLES,24,1964,1880
ERIC,25,1964,1878
MICHAEL,1,1965,8632
DAVID,2,1965,6816
ROBERT,3,1965,6352
JOHN,4,1965,6244
JAMES,5,1965,5558
RICHARD,6,1965,4114
MARK,7,1965,3433
STEVEN,8,1965,3362
WILLIAM,9,1965,3158
DANIEL,10,1965,2980
JEFFREY,11,1965,2732
CHRISTOP*,12,1965,2645
THOMAS,13,1965,2476
TIMOTHY,14,1965,2431
JOSEPH,15,1965,2343
KEVIN,16,1965,2299
PAUL,17,1965,2281
KENNETH,18,1965,2209
BRIAN,19,1965,2162
ERIC,20,1965,2155
SCOTT,21,1965,2054
RONALD,22,1965,2023
ANTHONY,23,1965,2017
GREGORY,24,1965,1902
CHARLES,25,1965,1714
MICHAEL,1,1966,8164
DAVID,2,1966,6716
ROBERT,3,1966,5973
JOHN,4,1966,5619
JAMES,5,1966,5251
RICHARD,6,1966,3767
STEVEN,7,1966,3191
MARK,8,1966,3166
WILLIAM,9,1966,2938
CHRISTOP*,10,1966,2866
JEFFREY,11,1966,2754
DANIEL,12,1966,2688
TIMOTHY,13,1966,2370
BRIAN,14,1966,2363
PAUL,15,1966,2217
THOMAS,16,1966,2141
ERIC,17,1966,2127
JOSEPH,18,1966,2112
ANTHONY,19,1966,2056
SCOTT,20,1966,2044
KEVIN,21,1966,2012
KENNETH,22,1966,1908
RONALD,23,1966,1899
GREGORY,24,1966,1708
CHARLES,25,1966,1612
MICHAEL,1,1967,8588
DAVID,2,1967,6852
ROBERT,3,1967,5569
JOHN,4,1967,5474
JAMES,5,1967,4889
RICHARD,6,1967,3680
MARK,7,1967,3130
STEVEN,8,1967,3053
WILLIAM,9,1967,2901
CHRISTOP*,10,1967,2888
DANIEL,11,1967,2624
JEFFREY,12,1967,2515
ERIC,13,1967,2454
BRIAN,14,1967,2441
TIMOTHY,15,1967,2325
ANTHONY,16,1967,2187
SCOTT,17,1967,2163
PAUL,18,1967,2157
JOSEPH,19,1967,2149
THOMAS,19,1967,2149
KEVIN,21,1967,2007
KENNETH,22,1967,1778
RONALD,23,1967,1673
GREGORY,24,1967,1554
CHARLES,25,1967,1545
MICHAEL,1,1968,8454
DAVID,2,1968,6405
ROBERT,3,1968,5909
JOHN,4,1968,5465
JAMES,5,1968,4844
RICHARD,6,1968,3560
CHRISTOP*,7,1968,3153
MARK,8,1968,3096
STEVEN,9,1968,2972
WILLIAM,10,1968,2867
JEFFREY,11,1968,2698
DANIEL,12,1968,2652
BRIAN,13,1968,2650
ERIC,14,1968,2408
SCOTT,15,1968,2303
TIMOTHY,16,1968,2214
PAUL,17,1968,2184
THOMAS,18,1968,2129
ANTHONY,19,1968,2086
JOSEPH,20,1968,2074
KEVIN,21,1968,1957
MATTHEW,22,1968,1773
