Name,Rank,Year,Freq
AMANDA,1,1980,199
MELISSA,2,1980,162
JENNIFER,3,1980,139
JULIE,4,1980,100
SARAH,5,1980,79
LISA,6,1980,77
AMY,7,1980,76
MELANIE,8,1980,67
MARIE,8,1980,67
MICHELLE,10,1980,60
ANGELA,11,1980,55
STEPHANIE,12,1980,54
TANYA,13,1980,52
ERIN,14,1980,51
CHRISTINE,15,1980,47
HEATHER,16,1980,45
NICOLE,17,1980,44
ANNIE,18,1980,43
CINDY,18,1980,43
SYLVIE,18,1980,43
MELISSA,1,1981,162
JENNIFER,2,1981,160
AMANDA,3,1981,138
JULIE,4,1981,106
MARIE,5,1981,101
SARAH,6,1981,98
AMY,7,1981,73
LISA,8,1981,59
MELANIE,9,1981,58
CHRISTINE,10,1981,56
STEPHANIE,11,1981,55
MICHELLE,12,1981,52
MÉLANIE,13,1981,50
ANGELA,14,1981,48
TANYA,15,1981,46
ANNIE,15,1981,46
CINDY,17,1981,43
KRISTA,17,1981,43
ERIN,19,1981,42
HEATHER,20,1981,40
JENNIFER,1,1982,174
MELISSA,2,1982,137
AMANDA,3,1982,126
MARIE,4,1982,95
JESSICA,4,1982,95
SARAH,6,1982,92
JULIE,6,1982,92
MELANIE,8,1982,82
AMY,9,1982,71
STEPHANIE,10,1982,65
CRYSTAL,11,1982,60
ANGELA,12,1982,53
LISA,13,1982,50
CHRISTINE,14,1982,48
MICHELLE,15,1982,45
ERIN,16,1982,44
NICOLE,17,1982,43
NATHALIE,18,1982,41
SYLVIE,19,1982,40
JENNIFER,1,1983,145
JESSICA,2,1983,121
AMANDA,3,1983,119
MELISSA,4,1983,116
JULIE,5,1983,95
SARAH,6,1983,90
STEPHANIE,7,1983,86
MARIE,8,1983,74
AMY,9,1983,67
ASHLEY,10,1983,62
CRYSTAL,11,1983,60
LISA,12,1983,59
NICOLE,13,1983,51
ERIN,14,1983,50
MELANIE,15,1983,48
ISABELLE,16,1983,45
MÉLANIE,16,1983,45
MICHELLE,18,1983,43
CHRISTINE,19,1983,42
ANGELA,19,1983,42
JENNIFER,1,1984,146
JESSICA,2,1984,120
MELISSA,3,1984,118
AMANDA,4,1984,109
SARAH,5,1984,95
ASHLEY,6,1984,90
MARIE,7,1984,83
STEPHANIE,8,1984,72
JULIE,9,1984,70
LAURA,10,1984,66
MÉLANIE,11,1984,56
AMY,12,1984,53
NICOLE,13,1984,50
MELANIE,14,1984,48
LISA,15,1984,46
MICHELLE,16,1984,44
CHRISTINE,16,1984,44
MEGAN,18,1984,42
DANIELLE,18,1984,42
ERIN,20,1984,41
JESSICA,1,1985,124
JENNIFER,2,1985,113
AMANDA,3,1985,111
ASHLEY,4,1985,104
MELISSA,5,1985,100
JULIE,6,1985,89
SARAH,7,1985,84
STEPHANIE,8,1985,76
AMY,9,1985,74
LAURA,10,1985,68
MARIE,11,1985,61
MÉLANIE,12,1985,60
MEGAN,13,1985,52
MELANIE,14,1985,49
CHRISTINE,15,1985,44
MICHELLE,16,1985,43
REBECCA,17,1985,41
NICOLE,18,1985,40
LINDSAY,19,1985,39
VANESSA,20,1985,37
JESSICA,1,1986,134
AMANDA,2,1986,112
SARAH,3,1986,108
ASHLEY,4,1986,102
JENNIFER,5,1986,98
MELISSA,6,1986,88
JULIE,7,1986,73
MARIE,8,1986,68
LAURA,9,1986,59
STEPHANIE,10,1986,54
NICOLE,11,1986,52
MEGAN,11,1986,52
MÉLANIE,13,1986,51
AMY,14,1986,49
BRITTANY,15,1986,46
MICHELLE,16,1986,44
REBECCA,17,1986,43
LISA,18,1986,42
CHRISTINE,19,1986,39
NATASHA,20,1986,38
JESSICA,1,1987,174
ASHLEY,2,1987,134
AMANDA,3,1987,92
SARAH,4,1987,91
JENNIFER,5,1987,79
MELISSA,6,1987,77
JULIE,7,1987,65
AMY,8,1987,60
NICOLE,9,1987,50
MEGAN,9,1987,50
STEPHANIE,9,1987,50
CHRISTINE,12,1987,46
LAURA,12,1987,46
MICHELLE,14,1987,43
SAMANTHA,14,1987,43
MARIE,16,1987,42
MÉLANIE,17,1987,40
DANIELLE,18,1987,39
VANESSA,19,1987,38
CHANTAL,20,1987,35
JESSICA,1,1988,169
AMANDA,2,1988,117
SARAH,3,1988,97
ASHLEY,4,1988,91
MELISSA,5,1988,88
JENNIFER,6,1988,74
STEPHANIE,7,1988,60
MARIE,8,1988,57
SAMANTHA,9,1988,55
JULIE,10,1988,53
VANESSA,11,1988,48
AMY,11,1988,48
NICOLE,13,1988,47
TIFFANY,14,1988,44
LAURA,15,1988,43
MEGAN,16,1988,42
REBECCA,16,1988,42
CHRISTINE,16,1988,42
MICHELLE,19,1988,40
KATELYN,20,1988,39
JESSICA,1,1989,169
SAMANTHA,2,1989,115
ASHLEY,3,1989,105
